            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2448194.333333333, A.D. 1990-Oct-29 20:00:00.0000,  1.110076988504055E+08,  1.079046212444413E+08,  2.754279344737642E+06, -2.215008007227259E+01,  3.354289705872085E+01,  1.317072540604290E+00,  5.164720852103063E+02,  1.548344359135832E+08,  7.519204388946432E+00,
2448195.333333333, A.D. 1990-Oct-30 20:00:00.0000,  1.090792386064603E+08,  1.107882269486593E+08,  2.867700764235906E+06, -2.248848654816125E+01,  3.320647928628320E+01,  1.308383848295898E+00,  5.186952273009392E+02,  1.555009171454173E+08,  7.907426201618091E+00,
2448196.333333333, A.D. 1990-Oct-31 20:00:00.0000,  1.071219861056169E+08,  1.136425769141336E+08,  2.980361475356914E+06, -2.281655605785772E+01,  3.286575748393042E+01,  1.299466047692114E+00,  5.210292281583127E+02,  1.562006329994234E+08,  8.288490420220109E+00,
2448197.333333333, A.D. 1990-Nov-01 20:00:00.0000,  1.051368370402965E+08,  1.164673190435900E+08,  3.092242330864735E+06, -2.313423336274566E+01,  3.252118828506330E+01,  1.290334134937956E+00,  5.234719967872124E+02,  1.569329566110065E+08,  8.662205465003144E+00,
2448198.333333333, A.D. 1990-Nov-02 20:00:00.0000,  1.031246908565598E+08,  1.192621404026702E+08,  3.203325484126583E+06, -2.344148607192059E+01,  3.217322131236322E+01,  1.281003230035155E+00,  5.260213906709098E+02,  1.576972456698104E+08,  9.028405646660364E+00,
2448199.333333333, A.D. 1990-Nov-03 20:00:00.0000,  1.010861858867286E+08,  1.220266563154621E+08,  3.313562529927127E+06, -2.374124969126398E+01,  3.182104550390332E+01,  1.271300523801628E+00,  5.286743784238469E+02,  1.584925913893072E+08,  9.384135400725292E+00,
2448200.333333333, A.D. 1990-Nov-04 20:00:00.0000,  9.902249347058119E+07,  1.247607421913475E+08,  3.422985622253858E+06, -2.402767678224465E+01,  3.146759360353376E+01,  1.261614402512613E+00,  5.314296207139807E+02,  1.593185922478520E+08,  9.734948895464237E+00,
2448201.333333333, A.D. 1990-Nov-05 20:00:00.0000,  9.693450180597705E+07,  1.274641958196867E+08,  3.531565037351407E+06, -2.430374113364295E+01,  3.111203467704193E+01,  1.251773365743309E+00,  5.342848336380698E+02,  1.601745635484780E+08,  1.007788081268493E+01,
2448202.333333333, A.D. 1990-Nov-06 20:00:00.0000,  9.482310364358296E+07,  1.301368528497625E+08,  3.639288010805160E+06, -2.456950611317592E+01,  3.075477621605987E+01,  1.241791727341411E+00,  5.372377339310283E+02,  1.610598207855330E+08,  1.041285276353237E+01,
2448203.333333333, A.D. 1990-Nov-07 20:00:00.0000,  9.268918539484465E+07,  1.327785835685247E+08,  3.746143002723984E+06, -2.482505485609906E+01,  3.039621237652359E+01,  1.231683511557550E+00,  5.402860187159480E+02,  1.619736735738881E+08,  1.073980689203518E+01,
2448204.333333333, A.D. 1990-Nov-08 20:00:00.0000,  9.053362549694249E+07,  1.353892916853632E+08,  3.852119667106733E+06, -2.507048865834513E+01,  3.003672273709584E+01,  1.221462352121488E+00,  5.434273712394656E+02,  1.629154273683579E+08,  1.105870470928922E+01,
2448205.333333333, A.D. 1990-Nov-09 20:00:00.0000,  8.835729294965920E+07,  1.379689129374986E+08,  3.957208801399097E+06, -2.530592497759772E+01,  2.967667028132515E+01,  1.211141263668013E+00,  5.466594660901018E+02,  1.638843850281192E+08,  1.136952523121665E+01,
2448206.333333333, A.D. 1990-Nov-10 20:00:00.0000,  8.616104569540736E+07,  1.405174143143090E+08,  4.061402390483677E+06, -2.553149998619921E+01,  2.931641039043820E+01,  1.200733992088331E+00,  5.499799755100551E+02,  1.648798487089392E+08,  1.167227000166320E+01,
2448207.333333333, A.D. 1990-Nov-11 20:00:00.0000,  8.394572954797044E+07,  1.430347922263660E+08,  4.164693501431108E+06, -2.574736027878402E+01,  2.895627403910484E+01,  1.190252615397482E+00,  5.533865733831252E+02,  1.659011210587245E+08,  1.196695189856958E+01,
2448208.333333333, A.D. 1990-Nov-12 20:00:00.0000,  8.171217701213013E+07,  1.455210711973468E+08,  4.267076256289221E+06, -2.595366633167353E+01,  2.859657912718222E+01,  1.179709204784830E+00,  5.568769399890726E+02,  1.669475066428426E+08,  1.225360114705579E+01,
